Sunday,left on shelf,amount decrease,Monday,left on shelf,amount decrease,Tuesday,left on shelf,amount decrease,Wednesday,left on shelf,amount decrease,Thursday,left on shelf,amount decrease,Friday,left on shelf,amount decrease,Saturday,left on shelf,amount decrease
,,,1/6,left on shelf,amount decreased,1/7,left on shelf,amount decreased,1/8,left on shelf,amount decreased,1/9,left on shelf,amount decreased,1/10,left on shelf,amount decreased,1/11,left on shelf,amount decreased
,,,pistachio,,,pistachio,0.5,0.5,pistachio,0.3,0.2,new pistachio,1,0.3,pistachio,0.8,0.2,pistachio,0.75,0.05
,,,vanilla,,,new vanilla,0.9,1.1,vanilla,0.6,0.3,new vanilla,1,0.4,vanilla,0.5,0.5,vanilla,0.3,0.2
,,,tcp,,,tcp,0.6,0.4,tcp,0.4,0.2,tcp,0,0.4,straw chee,0.6,0.4,straw cheese,0.2,0.4
,,,mint,,,mint,0.4,0.6,new mint,0.9,0.5,mint,0,0.9,dawg,0.3,0.7,dawg,0.9,0.4
,,,butter pecan,,,butter pecan,0.5,0.5,butter pecan,0.4,0.1,new butter p,0.9,0.5,butter,0.8,0.1,butter p,0.7,0.1
,,,huckle,,,new huckle,0.8,1.2,new huckle,0.3,0.4,straw,0.7,0.6,straw,0.4,0.3,straw,0.1,0.3
,,,chocolate,,,new chocolate,0.5,1.5,new choc,0.9,0.6,choc,0.4,0.5,choc; rocky,0.6,0.4; 0.6,rocky,0.5,0.1
,,,wildberry,,,wildberry,0.6,0.4,wildberry,0.3,0.3,new wildberry,1,0.3,wildberry,0.8,0.2,wildberry,0.7,0.1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,two days:,6.2,,,2.6,,,3.9,,,3.4,,,1.65
,,,,,,,,,,,,,,,,,,,,
1/12,left on shelf,amount decreased,1/13,left on shelf,amount decreased,1/14,left on shelf,amount decreased,1/15,left on shelf,amount decreased,1/16,left on shelf,amount decreased,1/17,left on shelf,amount decreased,1/18,left on shelf,amount decreased
pistachio,0.5,0.25,pistachio,0.3,0.2,pistachio; scbc,0.8,0.3; 0.2,scbc; salted caramel,0.9,0.8; 0.1,salted c,0.4,0.5,salted caramel,0.7,0.7,salted c,0.4,0.3
vanilla; french v,1,0.3; 0,french v,0.2,0.8,new f vanilla,0.4,0.8,fv; vanilla,0.9,0.4; 0.1,vanilla,0.7,0.2,vanilla,0.8,0.9,vanilla,0.6,0.2
straw ch,0.7,0.5,straw ch; maf,0.9,0.7; 0.1,maf,0.5,0.4,maf; mint chip,0.8,0.5; 0.2,mint chip; peppermint,1,0.8; 0,peppermint,0.7,0.3,peppermint,0.6,0.1
dawg,0.7,0.2,dawg; cccd,0.9,0.7; 0.1,new cccd,0.7,1.2,cccd; straw ch,0.7,0.7; 0.3,straw ch,,0.5,straw ch,0.7,0.5,straw ch,0.3,0.4
butter pe,0.6,0.1,butter p,0.5,0.1,butter p,0.1,0.4,butter p; huckle,0.7,0.1; 0.3,huckle,0.1,0.6,huckle,0.9,0.2,huckle,0.8,0.1
straw; orange sherbet,1,0.1; 0,orange sherbet,0.75,0.25,orange,0.4,0.35,orange,0.1,0.3,orange; dawg,0.3,0.1; 0.7,dawg,0.4,0.9,dawg,0.9,0.5
rocky,0.3,0.2,rocky; cc,0.7,0.3; 0.3,new cc,0.8,0.9,cc,0.9,0.9,cc; tcp,1,0.9; 0,tcp,0.7,0.3,tcp,0.7,0
wild,0.6,0.1,wildberry,0.3,0.3,wildberry,0.9,0.4,wildberry,0.7,0.2,wildberry,0.7,0,wildberry,0.5,0.2,wildberry,0.4,0.1
,,,,,,,,,,,,,,,,,,,,
,,1.75,,,3.85,,,4.95,,,4.9,,,4.3,,,4,or 5 if new huckle??,,1.7
,,,,,,,,,,,,,,,,,,,,
1/19,left on shelf,amount decreased,1/20,left on shelf,amount decreased,1/21,left on shelf,amount decreased,1/22,left on shelf,amount decreased,1/23,left on shelf,amount decreased,1/24,left on shelf,amount decreased,1/25,left on shelf,amount decreased
salted c,0.5,0.9,CLOSED,,,salted c,0.8,0.7,sc; mint,0.9,0.8; 0.1,mint,0.1,0.8,mint,0.6,0.5,StrawCC,0.5,0.6
v; french v,0.9,0.6; 0.1,,,,f vanilla,0.5,0.4,fv; huckle,0.5,0.5; 0.5,huckle,0.7,0.8,huckle,0.9,0.8,Huckle,0.4,0.5
pepper mint,0.9,0.7,,,,peppermint,0.7,0.2,pepper; cc,0.9,0.7; 0.1,cc,0.7,1.2,cc; cccd,1,0.7; 0,cccd; Dawg,0.05,1; 0.95
straw ch; straw,0.7,0.3; 0.3,,,,straw,0.9,0.8,straw,0.9,1,straw,0.4,0.5,straw,0.8,0.6,Straw,0.3,0.5
huckle; spumoni,1,0.8; 0,,,,spumoni,0.7,0.3,spu; pistachio,0.9,0.7; 0.1,pistachio,0.5,0.4,pistachio,0,0.5,Vanilla,0.6,0.4
dawg; cccd,0.8,0.9; 0.2,,,,cccd; choc,0.8,0.8; 0.2,choc; maf,1,0.8; 0,maf,0.5,0.5,maf; straw ch,0.1,0.5; 0.9,straw ch; SCBC,0.9,0.6; 0.1
tcp,0.6,0.1,,,,tcp,0.1,0.5,tcp; choc,0.6,0.1; 0.4,choc,0.9,0.7,choc,0.4,0.5,praline (my),0.2,0.4
wildberry,1,0.4,,,,wild; raspberry,0.9,1; 0.1,raspberry,0.4,0.5,raspberry,0.8,0.4,praline (my),0.6,0.4,Choc,0.8,0.6
,,,,,,,,,,,,,,,,,,,,
,,5.3,,,,,,5.1,,,6.3,,,5.3,,,5.4,,,5.65
,,,,,,,,,,,,,,,,,,,,
1/26,left on shelf,amount decreased,1/27,left on shelf,amount decreased,1/28,left on shelf,amount decreased,1/29,left on shelf,amount decreased,1/30,left on shelf,amount decreased,1/31,left on shelf,amount decreased,2/1,left on shelf,amount decreased
straw ch; salted c,0.9,0.5; 0.1,I did not feel like doing this,,,sc; French V,0.6,0.9; 0.4,french v,0.3,0.3,french v,0.5,0.8,fv; Vanilla,0.8,0.5; 0.2,vanilla,0.2,0.6
huckle,0.75,0.65,Thanks Chris :),,,Huckleberry,0.6,1.15,huckle; wildberry,0.9,0.6; 0.1,wild,0.6,0.3,C&C,0.6,0.4,cc; cccd,0.1,0.6; 0.9
